GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
point-of-sale,com.increff.store.spring,SpringConfig,3,0,0,0,1,0,1,0,1,0
point-of-sale,com.increff.store.spring,SecurityConfig,0,233,0,0,0,22,0,4,0,4
point-of-sale,com.increff.store.spring,ControllerConfig,4,112,0,0,2,25,1,7,1,7
point-of-sale,com.increff.store.spring,DbConfig,0,102,0,0,0,27,0,4,0,4
point-of-sale,com.increff.store.spring,WebInitializer,20,0,0,0,4,0,4,0,4,0
point-of-sale,com.increff.store.spring,SpringSecurityInitializer,3,0,0,0,1,0,1,0,1,0
point-of-sale,com.increff.store.dao,UserDao,0,74,0,0,0,19,0,7,0,7
point-of-sale,com.increff.store.dao,InventoryDao,0,42,0,0,0,11,0,6,0,6
point-of-sale,com.increff.store.dao,BrandDao,0,70,0,0,0,21,0,7,0,7
point-of-sale,com.increff.store.dao,OrderItemDao,21,79,0,0,6,20,2,7,2,7
point-of-sale,com.increff.store.dao,ProductDao,0,67,0,0,0,17,0,7,0,7
point-of-sale,com.increff.store.dao,AbstractDao,0,19,0,0,0,4,0,4,0,4
point-of-sale,com.increff.store.dao,OrderDao,38,71,0,0,10,19,3,7,3,7
point-of-sale,com.increff.store.dao,ReportDao,48,10,0,0,11,4,4,2,4,2
point-of-sale,com.increff.store.model,ProductData,9,43,0,0,3,6,3,12,3,12
point-of-sale,com.increff.store.model,BrandRevenueData,24,0,0,0,5,0,7,0,7,0
point-of-sale,com.increff.store.model,OrderForm,0,10,0,0,0,3,0,3,0,3
point-of-sale,com.increff.store.model,DailyReportData,3,28,0,0,1,5,1,8,1,8
point-of-sale,com.increff.store.model,InfoData,24,0,0,0,5,0,7,0,7,0
point-of-sale,com.increff.store.model,CategoryRevenueData,24,0,0,0,5,0,7,0,7,0
point-of-sale,com.increff.store.model,OrderData,0,38,0,0,0,7,0,11,0,11
point-of-sale,com.increff.store.model,OrderItem,31,0,0,0,6,0,9,0,9,0
point-of-sale,com.increff.store.model,DateFilterForm,17,0,0,0,4,0,5,0,5,0
point-of-sale,com.increff.store.model,InventoryForm,0,17,0,0,0,4,0,5,0,5
point-of-sale,com.increff.store.model,ProductRevenueData,6,32,0,0,2,5,2,9,2,9
point-of-sale,com.increff.store.model,BrandCategoryFilterForm,17,0,0,0,4,0,5,0,5,0
point-of-sale,com.increff.store.model,MessageData,10,0,0,0,4,0,3,0,3,0
point-of-sale,com.increff.store.model,BrandData,3,21,0,0,1,4,1,6,1,6
point-of-sale,com.increff.store.model,UserForm,0,17,0,0,0,4,0,5,0,5
point-of-sale,com.increff.store.model,OrderItemForm,0,31,0,0,0,6,0,9,0,9
point-of-sale,com.increff.store.model,OrderStatusData,17,0,0,0,4,0,5,0,5,0
point-of-sale,com.increff.store.model,FilterForm,17,0,0,0,4,0,5,0,5,0
point-of-sale,com.increff.store.model,InvoiceForm,31,0,0,0,6,0,9,0,9,0
point-of-sale,com.increff.store.model,InventoryData,0,10,0,0,0,3,0,3,0,3
point-of-sale,com.increff.store.model,InventoryReportModel,0,31,0,0,0,6,0,9,0,9
point-of-sale,com.increff.store.model,LoginForm,17,0,0,0,4,0,5,0,5,0
point-of-sale,com.increff.store.model,OrderItemData,9,36,0,0,3,5,3,10,3,10
point-of-sale,com.increff.store.model,ProductForm,0,24,0,0,0,5,0,7,0,7
point-of-sale,com.increff.store.model,UpdateProductForm,0,17,0,0,0,4,0,5,0,5
point-of-sale,com.increff.store.model,UserData,0,24,0,0,0,5,0,7,0,7
point-of-sale,com.increff.store.model,BrandForm,0,17,0,0,0,4,0,5,0,5
point-of-sale,com.increff.store.model,UpdateOrderItemForm,7,17,0,0,1,4,2,5,2,5
point-of-sale,com.increff.store.flow,InvoiceGenerator,92,3,4,0,21,1,3,1,1,1
point-of-sale,com.increff.store.flow,OrderItemFlow,26,75,0,0,7,20,1,3,1,3
point-of-sale,com.increff.store.controller,AppUiController,47,3,0,0,11,1,10,1,10,1
point-of-sale,com.increff.store.controller,LoginController,111,3,10,0,26,1,8,1,3,1
point-of-sale,com.increff.store.controller,RevenueApiController,23,3,0,0,5,1,5,1,5,1
point-of-sale,com.increff.store.controller,AdminApiController,15,3,0,0,5,1,3,1,3,1
point-of-sale,com.increff.store.controller,OrderApiController,82,3,0,0,16,1,6,1,6,1
point-of-sale,com.increff.store.controller,OrderItemApiController,25,3,0,0,8,1,5,1,5,1
point-of-sale,com.increff.store.controller,AppRestControllerAdvice,30,7,0,0,7,2,2,2,2,2
point-of-sale,com.increff.store.controller,ProductApiController,21,3,0,0,6,1,4,1,4,1
point-of-sale,com.increff.store.controller,AbstractUiController,83,3,8,0,15,1,6,1,2,1
point-of-sale,com.increff.store.controller,BrandApiController,16,3,0,0,5,1,3,1,3,1
point-of-sale,com.increff.store.controller,SiteUiController,12,3,0,0,3,1,3,1,3,1
point-of-sale,com.increff.store.controller,InventoryApiController,19,3,0,0,7,1,4,1,4,1
point-of-sale,com.increff.store.util,SecurityUtil,27,0,2,0,9,0,6,0,5,0
point-of-sale,com.increff.store.util,GetCurrentDataTime,5,2,0,0,2,1,2,1,2,1
point-of-sale,com.increff.store.util,StringUtil,9,47,4,8,3,11,5,8,1,6
point-of-sale,com.increff.store.util,UserPrincipal,24,0,0,0,5,0,7,0,7,0
point-of-sale,com.increff.store.api,OrderService,48,30,3,1,13,8,6,6,4,6
point-of-sale,com.increff.store.api,ApiException,0,4,0,0,0,2,0,1,0,1
point-of-sale,com.increff.store.api,InventoryService,15,94,3,7,3,21,3,8,0,6
point-of-sale,com.increff.store.api,BrandService,19,67,5,3,3,18,4,7,0,7
point-of-sale,com.increff.store.api,ProductService,18,63,3,5,4,18,3,8,0,7
point-of-sale,com.increff.store.api,UserService,5,60,0,4,1,16,1,8,1,6
point-of-sale,com.increff.store.api,OrderItemService,18,45,1,1,5,12,3,7,2,7
point-of-sale,com.increff.store.api,ReportService,48,7,2,0,13,2,6,2,5,2
point-of-sale,com.increff.store.pojo,ProductPojo,4,34,0,0,0,7,1,10,1,10
point-of-sale,com.increff.store.pojo,UserPojo,0,31,0,0,0,6,0,9,0,9
point-of-sale,com.increff.store.pojo,AbstractDateAudit,14,10,0,0,2,3,4,3,4,3
point-of-sale,com.increff.store.pojo,OrderItemPojo,7,38,0,0,1,7,2,11,2,11
point-of-sale,com.increff.store.pojo,InventoryPojo,0,17,0,0,0,4,0,5,0,5
point-of-sale,com.increff.store.pojo,DailyReportPojo,0,31,0,0,0,6,0,9,0,9
point-of-sale,com.increff.store.pojo,OrderPojo,0,38,0,0,0,7,0,11,0,11
point-of-sale,com.increff.store.pojo,BrandPojo,0,24,0,0,0,5,0,7,0,7
point-of-sale,com.increff.store.dto,BrandDto,0,54,0,2,0,15,0,5,0,4
point-of-sale,com.increff.store.dto,ReportDto,217,7,10,0,51,2,8,2,3,2
point-of-sale,com.increff.store.dto,ProductDto,5,150,1,3,1,38,1,8,0,7
point-of-sale,com.increff.store.dto,RevenueDto,353,3,34,0,57,1,23,1,6,1
point-of-sale,com.increff.store.dto,OrderItemDto,108,165,10,8,22,39,10,8,3,6
point-of-sale,com.increff.store.dto,OrderDto,158,95,11,3,36,24,9,8,3,7
point-of-sale,com.increff.store.dto,UserDto,9,83,2,8,3,19,2,7,0,4
point-of-sale,com.increff.store.dto,InventoryDto,34,122,1,7,10,28,2,9,1,6
point-of-sale,com.increff.store.dto,DtoUtils,58,333,11,21,11,90,12,22,1,17
point-of-sale,com.increff.store.client,InvoiceClient,51,9,0,0,7,3,1,2,1,2
